date_key,year,quarter,month,month_name,day,day_of_week,is_weekend
2018-08-01,2018,3,8,August,1,Wednesday,false
2017-04-12,2017,2,4,April,12,Wednesday,false
2018-04-17,2018,2,4,April,17,Tuesday,false
2018-07-12,2018,3,7,July,12,Thursday,false
2017-04-23,2017,2,4,April,23,Sunday,true
2018-07-25,2018,3,7,July,25,Wednesday,false
2018-07-10,2018,3,7,July,10,Tuesday,false
2017-04-11,2017,2,4,April,11,Tuesday,false
2018-04-06,2018,2,4,April,6,Friday,false
2017-03-28,2017,1,3,March,28,Tuesday,false
2017-07-13,2017,3,7,July,13,Thursday,false
2017-02-14,2017,1,2,February,14,Tuesday,false
2017-04-17,2017,2,4,April,17,Monday,false
2017-03-06,2017,1,3,March,6,Monday,false
2017-10-10,2017,4,10,October,10,Tuesday,false
2018-06-14,2018,2,6,June,14,Thursday,false
2018-02-18,2018,1,2,February,18,Sunday,true
2017-08-22,2017,3,8,August,22,Tuesday,false
2017-11-08,2017,4,11,November,8,Wednesday,false
2017-05-22,2017,2,5,May,22,Monday,false
2017-09-21,2017,3,9,September,21,Thursday,false
2017-03-18,2017,1,3,March,18,Saturday,true
2017-02-03,2017,1,2,February,3,Friday,false
2017-01-31,2017,1,1,January,31,Tuesday,false
2017-02-28,2017,1,2,February,28,Tuesday,false
2018-07-22,2018,3,7,July,22,Sunday,true
2017-06-18,2017,2,6,June,18,Sunday,true
2017-08-31,2017,3,8,August,31,Thursday,false
2018-05-01,2018,2,5,May,1,Tuesday,false
2018-08-22,2018,3,8,August,22,Wednesday,false
2018-01-08,2018,1,1,January,8,Monday,false
2017-04-10,2017,2,4,April,10,Monday,false
2018-02-22,2018,1,2,February,22,Thursday,false
2017-12-24,2017,4,12,December,24,Sunday,true
2017-05-16,2017,2,5,May,16,Tuesday,false
2017-07-26,2017,3,7,July,26,Wednesday,false
2017-10-28,2017,4,10,October,28,Saturday,true
2017-03-25,2017,1,3,March,25,Saturday,true
2017-10-18,2017,4,10,October,18,Wednesday,false
2018-07-14,2018,3,7,July,14,Saturday,true
2018-08-11,2018,3,8,August,11,Saturday,true
2017-02-22,2017,1,2,February,22,Wednesday,false
2018-03-24,2018,1,3,March,24,Saturday,true
2017-12-19,2017,4,12,December,19,Tuesday,false
2017-11-28,2017,4,11,November,28,Tuesday,false
2018-06-18,2018,2,6,June,18,Monday,false
2018-04-04,2018,2,4,April,4,Wednesday,false
2018-01-18,2018,1,1,January,18,Thursday,false
2018-02-15,2018,1,2,February,15,Thursday,false
2018-01-26,2018,1,1,January,26,Friday,false
2018-02-26,2018,1,2,February,26,Monday,false
2017-04-15,2017,2,4,April,15,Saturday,true
2018-05-21,2018,2,5,May,21,Monday,false
2018-03-18,2018,1,3,March,18,Sunday,true
2018-04-30,2018,2,4,April,30,Monday,false
2017-07-03,2017,3,7,July,3,Monday,false
2018-05-13,2018,2,5,May,13,Sunday,true
2017-06-07,2017,2,6,June,7,Wednesday,false
2017-11-14,2017,4,11,November,14,Tuesday,false
2017-07-27,2017,3,7,July,27,Thursday,false
2017-01-13,2017,1,1,January,13,Friday,false
2017-08-15,2017,3,8,August,15,Tuesday,false
2017-01-17,2017,1,1,January,17,Tuesday,false
2016-12-23,2016,4,12,December,23,Friday,false
2018-08-06,2018,3,8,August,6,Monday,false
2017-11-26,2017,4,11,November,26,Sunday,true
2017-05-14,2017,2,5,May,14,Sunday,true
2017-02-13,2017,1,2,February,13,Monday,false
2018-08-28,2018,3,8,August,28,Tuesday,false
2018-08-05,2018,3,8,August,5,Sunday,true
2017-01-25,2017,1,1,January,25,Wednesday,false
2017-02-08,2017,1,2,February,8,Wednesday,false
2017-11-10,2017,4,11,November,10,Friday,false
2017-11-06,2017,4,11,November,6,Monday,false
2018-01-04,2018,1,1,January,4,Thursday,false
2017-04-05,2017,2,4,April,5,Wednesday,false
2018-05-16,2018,2,5,May,16,Wednesday,false
2017-07-20,2017,3,7,July,20,Thursday,false
2017-06-02,2017,2,6,June,2,Friday,false
2018-06-08,2018,2,6,June,8,Friday,false
2018-06-13,2018,2,6,June,13,Wednesday,false
2017-11-20,2017,4,11,November,20,Monday,false
2017-07-30,2017,3,7,July,30,Sunday,true
2017-09-20,2017,3,9,September,20,Wednesday,false
2017-12-08,2017,4,12,December,8,Friday,false
2017-09-02,2017,3,9,September,2,Saturday,true
2017-08-25,2017,3,8,August,25,Friday,false
2017-03-26,2017,1,3,March,26,Sunday,true
2017-09-28,2017,3,9,September,28,Thursday,false
2017-07-04,2017,3,7,July,4,Tuesday,false
2017-03-29,2017,1,3,March,29,Wednesday,false
2018-03-09,2018,1,3,March,9,Friday,false
2018-07-19,2018,3,7,July,19,Thursday,false
2017-12-20,2017,4,12,December,20,Wednesday,false
2017-03-02,2017,1,3,March,2,Thursday,false
2018-03-08,2018,1,3,March,8,Thursday,false
2018-01-24,2018,1,1,January,24,Wednesday,false
2018-03-25,2018,1,3,March,25,Sunday,true
2018-05-19,2018,2,5,May,19,Saturday,true
2017-02-26,2017,1,2,February,26,Sunday,true
2016-10-10,2016,4,10,October,10,Monday,false
2017-11-21,2017,4,11,November,21,Tuesday,false
2017-02-11,2017,1,2,February,11,Saturday,true
2017-06-16,2017,2,6,June,16,Friday,false
2017-09-16,2017,3,9,September,16,Saturday,true
2017-06-30,2017,2,6,June,30,Friday,false
2017-05-18,2017,2,5,May,18,Thursday,false
2017-08-19,2017,3,8,August,19,Saturday,true
2017-06-21,2017,2,6,June,21,Wednesday,false
2017-02-02,2017,1,2,February,2,Thursday,false
2017-05-30,2017,2,5,May,30,Tuesday,false
2017-08-24,2017,3,8,August,24,Thursday,false
2017-01-27,2017,1,1,January,27,Friday,false
2018-09-06,2018,3,9,September,6,Thursday,false
2016-09-05,2016,3,9,September,5,Monday,false
2017-11-24,2017,4,11,November,24,Friday,false
2018-07-02,2018,3,7,July,2,Monday,false
2018-03-21,2018,1,3,March,21,Wednesday,false
2017-11-25,2017,4,11,November,25,Saturday,true
2018-03-20,2018,1,3,March,20,Tuesday,false
2018-03-15,2018,1,3,March,15,Thursday,false
2017-11-11,2017,4,11,November,11,Saturday,true
2018-08-24,2018,3,8,August,24,Friday,false
2018-02-25,2018,1,2,February,25,Sunday,true
2018-06-04,2018,2,6,June,4,Monday,false
2018-08-21,2018,3,8,August,21,Tuesday,false
2018-02-28,2018,1,2,February,28,Wednesday,false
2017-01-16,2017,1,1,January,16,Monday,false
2018-07-28,2018,3,7,July,28,Saturday,true
2017-04-28,2017,2,4,April,28,Friday,false
2017-11-12,2017,4,11,November,12,Sunday,true
2018-07-04,2018,3,7,July,4,Wednesday,false
2018-08-14,2018,3,8,August,14,Tuesday,false
2017-12-07,2017,4,12,December,7,Thursday,false
2017-05-12,2017,2,5,May,12,Friday,false
2017-07-18,2017,3,7,July,18,Tuesday,false
2017-10-15,2017,4,10,October,15,Sunday,true
2017-04-16,2017,2,4,April,16,Sunday,true
2017-12-22,2017,4,12,December,22,Friday,false
2018-05-31,2018,2,5,May,31,Thursday,false
2018-03-06,2018,1,3,March,6,Tuesday,false
2017-06-10,2017,2,6,June,10,Saturday,true
2018-02-07,2018,1,2,February,7,Wednesday,false
2017-12-09,2017,4,12,December,9,Saturday,true
2017-01-30,2017,1,1,January,30,Monday,false
2017-02-05,2017,1,2,February,5,Sunday,true
2017-07-06,2017,3,7,July,6,Thursday,false
2017-07-08,2017,3,7,July,8,Saturday,true
2017-07-23,2017,3,7,July,23,Sunday,true
2018-05-25,2018,2,5,May,25,Friday,false
2016-10-09,2016,4,10,October,9,Sunday,true
2017-12-31,2017,4,12,December,31,Sunday,true
2017-02-27,2017,1,2,February,27,Monday,false
2018-09-12,2018,3,9,September,12,Wednesday,false
